,station,lt_opt,lt_ref,month,count,mbe_ghi,mbe_dni,mbe_dhi,opt_mbe_ghi,opt_mbe_dni,opt_mbe_dhi
39,fpk,4.751639344,3.151639344,4,15898,-0.025541981,-0.020339771,-0.069369967,-0.009698142,-0.231006402,0.346807674
40,fpk,4.04057377,3.21557377,5,15030,-0.022579704,-0.020916646,-0.012289802,0.001141097,-0.166552901,0.190792342
41,fpk,4.204303279,3.091803279,6,19817,0.00308632,0.013328492,0.014871141,0.000588548,-0.181349556,0.333522286
42,fpk,3.963114754,3.163114754,7,32402,0.016697836,0.032000145,0.027445535,-0.001679812,-0.144562971,0.209891909
43,fpk,3.746721311,3.046721311,8,27641,0.031727777,0.065408183,-0.116688818,0.00208363,-0.118239607,0.030829233
44,fpk,4.184221311,2.846721311,9,22213,0.028083198,0.026867855,-0.077164013,-0.000512981,-0.225468633,0.344741537
45,fpk,4.075,2.65,10,15018,0.009976113,-0.014662365,-0.035321954,0.00118265,-0.272587857,0.494199142
46,fpk,4.446721311,2.646721311,11,9716,0.00358148,-0.032492084,-0.10290097,-0.002797224,-0.367132076,0.570713698
47,fpk,4.083870968,2.483870968,12,6203,0.007412718,-0.002525991,-0.300971981,-0.004542528,-0.332410523,0.208509682
48,gwn,0.1375,3,1,14365,-0.019332424,-0.106638501,0.251759782,-0.001111765,0.655738436,-1.47105493
49,gwn,0.401666667,3.001666667,2,10911,-0.023232817,-0.082031092,0.174682142,0.003816701,0.474908258,-1.222086313
50,gwn,1.229098361,3.104098361,3,17067,-0.017321197,-0.02390215,-0.032087139,0.000851133,0.284074312,-0.751481364
51,gwn,1.704918033,3.354918033,4,20096,-0.02853983,-0.035239009,0.0411379,-0.002593076,0.207554454,-0.577998582
52,gwn,2.870696721,3.658196721,5,16267,-0.026867193,-0.01423263,-0.050852568,0.000680953,0.097166018,-0.280753846
53,gwn,3.893237705,4.155737705,6,18187,-0.025378703,-0.026245718,-0.04719001,-0.000547182,0.002406781,-0.100784911
54,gwn,4.150409836,4.425409836,7,13361,-0.029008442,-0.028488472,-0.039392091,0.001287339,0.015980255,-0.098737079
55,gwn,3.992622951,4.242622951,8,16546,-0.014979889,0.021687553,-0.112428931,-0.002071713,0.061790618,-0.186377706
56,gwn,1.929303279,3.791803279,9,21326,-0.026585778,-0.060479662,0.111332948,-0.000346941,0.223069367,-0.551036794
57,gwn,0.895081967,3.295081967,10,23934,-0.018480238,-0.076596227,0.233781695,-0.002465162,0.36248141,-0.878415388
58,gwn,0.2,3,11,19138,-0.014318213,-0.092699627,0.246239282,0.004837785,0.590786767,-1.414711578
59,gwn,0.2,3,12,13426,-0.019454188,-0.118989741,0.282352742,-0.024089259,0.639691701,-1.388605256
60,psu,2.513347458,2.250847458,1,5312,0.025055679,0.043151623,-0.260625046,0.000866022,-0.015722531,-0.135971422
61,psu,2.309166667,2.309166667,2,6842,-0.003497092,0.01980644,-0.318178055,0.000978684,0.034085092,-0.338274525
62,psu,2.379098361,2.854098361,3,11217,-0.027839733,-0.008265242,-0.162710205,0.001367778,0.060205636,-0.334288767
63,psu,2.648155738,3.110655738,4,14460,-0.028652974,-0.016490011,-0.045447505,-0.000528419,0.054413998,-0.218010847
64,psu,2.905737705,3.755737705,5,12563,-0.044482163,-0.038341444,-0.006623037,-0.00265458,0.075828999,-0.226181428
65,psu,3.301639344,4.101639344,6,11972,-0.039407996,-0.04008227,0.018415286,0.001851977,0.067868955,-0.169086788
66,psu,3.325,4.2,7,12086,-0.044934836,-0.061934004,0.037550437,0.001123876,0.057739027,-0.164794482
67,psu,3.436885246,4.186885246,8,12044,-0.035052949,-0.029237925,-0.047383854,0.002079034,0.064100901,-0.192067655
68,psu,3.104303279,3.391803279,9,11781,-0.020678818,-0.044456166,0.039927797,0.000430171,0.00935884,-0.072102214
69,psu,2.872540984,2.897540984,10,11536,-0.007394473,-0.023748749,0.032096513,-0.001593459,-0.007879322,-0.008252003
70,psu,2.766803279,2.741803279,11,8040,0.005846848,-0.012189743,-0.029994654,0.001975877,-0.025665797,-0.002701972
71,psu,2.65,2.25,12,4203,0.029872797,0.046979504,-0.226216471,-0.003332996,-0.028273234,-0.067767973
72,sxf,2.88266129,2.62016129,1,9831,-0.035954351,-0.035622697,-0.200931713,0.00040175,-0.109325206,-0.082031511
73,sxf,2.403333333,2.803333333,2,13080,-0.050723972,-0.0371808,-0.252375471,0.00135529,-0.00595895,-0.389082012
74,sxf,2.809016393,3.009016393,3,12690,-0.038572082,-0.022771767,-0.146162325,-0.012630881,-0.040438403,-0.223679753
75,sxf,3.003278689,3.553278689,4,15657,-0.053452715,-0.073522033,0.055781852,0.002881017,-0.041425888,-0.121375706
76,sxf,3.154098361,3.754098361,5,14180,-0.04700136,-0.066915885,0.080640853,0.001846946,-0.027178235,-0.111606162
77,sxf,3.353278689,4.003278689,6,18277,-0.041231477,-0.081356573,0.198534993,-0.002595874,-0.04796986,-0.016044912
78,sxf,3.437704918,4.137704918,7,25926,-0.030655316,-0.076168535,0.139599417,-0.002019324,-0.035586143,-0.062668042
79,sxf,3.642622951,3.842622951,8,24341,-0.023042965,-0.051037553,0.098209838,-0.010316298,-0.076443511,0.015761758
80,sxf,3.393442623,3.393442623,9,24183,-0.012662556,-0.029452257,0.043117124,-0.000955044,-0.072888047,0.021908045
81,sxf,3.195901639,2.995901639,10,19087,-0.005373666,-0.054315707,0.103311221,-0.002095483,-0.114804637,0.161882348
82,sxf,3.173360656,2.748360656,11,12388,0.005081069,-0.056296315,0.003004801,0.002145473,-0.158237927,0.194701601
83,sxf,2.924193548,2.649193548,12,9964,-0.020713979,-0.044155929,-0.295150008,0.001019505,-0.116621967,-0.192832128
